Unnamed: 0,index,Paper Title,Authors,Published Year,Publication Venue
720412,720413,"Commentary on Donald MacKenzie, ""a view from the Sonnenbichl""",Bernd Mahr,2000.0,ICHC Proceedings of the international conference on History of computing: software issues
996293,996294,Two methods for privacy preserving data mining with malicious participants,Divyesh Shah;Sheng Zhong,2007.0,Information Sciences: an International Journal
1240688,1240689,A Research on the Security of the Intelligent Mobile Phone System,Li Nawen,2009.0,ICNDS '09 Proceedings of the 2009 International Conference on Networking and Digital Society - Volume 01
1050924,1050925,Intelligent seamless vertical handoff algorithm for the next generation wireless networks,Jiping Lv;Yuanchen Ma;Satoshi Yoshizawa,2008.0,"Proceedings of the 1st international conference on MOBILe Wireless MiddleWARE, Operating Systems, and Applications"
1184801,1184802,Interacting with temporal data,Wendy E. Mackay;Max G. Van Kleek;Aurélien Tabard,2009.0,CHI '09 Extended Abstracts on Human Factors in Computing Systems
1091251,1091252,Preparing area average rainfall on a regular grid from scattered raingauge data,O. P. Sharma;H. C. Upadhyaya;A. Harzallah;R. Sadourny,2006.0,Journal of Computational Methods in Sciences and Engineering
498355,498356,A Temporal Logic for Real-Time Partial-Ordering with Named Transactions,Farn Wang,1995.0,LATIN '95 Proceedings of the Second Latin American Symposium on Theoretical Informatics
970360,970361,Evaluation of a warped linear predictive coding scheme,A. Harma,2000.0,"ICASSP '00 Proceedings of the Acoustics, Speech, and Signal Processing, 2000. on IEEE International Conference - Volume 02"
693683,693684,Static task scheduling and grain packing in parallel processing systems,Boontee Kruatrachue,1987.0,Static task scheduling and grain packing in parallel processing systems
1326368,1326369,On-demand Data Service for the Next Generation Spatial Data Infrastructure,Zhen-Chun Huang,2009.0,"SKG '09 Proceedings of the 2009 Fifth International Conference on Semantics, Knowledge and Grid"
1486626,1486627,Annotated probabilistic temporal logic,Paulo Shakarian;Austin Parker;Gerardo Simari;Venkatramana V. S. Subrahmanian,2011.0,ACM Transactions on Computational Logic (TOCL)
485242,485243,Flexible Communication Mechanisms for Dynamic Structured Applications,Stephen J. Fink;Scott B. Baden;Scott R. Kohn,1996.0,IRREGULAR '96 Proceedings of the Third International Workshop on Parallel Algorithms for Irregularly Structured Problems
1031913,1031914,Identifying Functional Binding Motifs of Tumor Protein p53 Using Support Vector Machines,Amit U. Sinha;Mukta Phatak;Raj Bhatnagar;Anil G. Jegga,2007.0,ICMLA '07 Proceedings of the Sixth International Conference on Machine Learning and Applications
1546025,1546026,FFT-based RLS in signal processing,Robert J. Plemmons,1993.0,"ICASSP'93 Proceedings of the 1993 IEEE international conference on Acoustics, speech, and signal processing: digital speech processing - Volume III"
1233025,1233026,Evaluation and Optimization of the Registrar Redundancy Handling in Reliable Server Pooling Systems,Xing Zhou;Thomas Dreibholz;Fu Fa;Wencai Du;Erwin Paul Rathgeb,2009.0,AINA '09 Proceedings of the 2009 International Conference on Advanced Information Networking and Applications
900064,900065,Mining Uncertain Data in Low-dimensional Subspace,Zhiwen Yu;Hau-San Wong,2006.0,ICPR '06 Proceedings of the 18th International Conference on Pattern Recognition - Volume 02
1034233,1034234,Context Adaptation of Web Service Orchestrations,Frederick Seyler;Chantal Taconet;Guy Bernard,2007.0,WETICE '07 Proceedings of the 16th IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises
1084535,1084536,Sensitivity derivatives for flexible sensorimotor learning,M. N. Abdelghani;T. P. Lillicrap;D. B. Tweed,2008.0,Neural Computation
467369,467370,Data-Object Oriented Design for Distributed Shared Memory,G. Manis,2001.0,HPCN Europe 2001 Proceedings of the 9th International Conference on High-Performance Computing and Networking
1341811,1341812,Effects of different PHEV control strategies on vehicle performance,P. Tulpule;V. Marano;G. Rizzoni,2009.0,ACC'09 Proceedings of the 2009 conference on American Control Conference
710424,710425,Museums and community cultural planning: a case study in participatory action research in peterborough ontario,Gordon Nelson;Beth Moore Milroy;Gregory G. Baeker,1999.0,Museums and community cultural planning: a case study in participatory action research in peterborough ontario
935134,935135,Advances in Multiuser Design,M. L. Honig,2007.0,Advances in Multiuser Design
1428202,1428203,Unit testing for wireless sensor networks,Michael Okola;Kamin Whitehouse,2010.0,Proceedings of the 2010 ICSE Workshop on Software Engineering for Sensor Network Applications
151523,151524,Proceedings of the fourteenth ACM symposium on Operating systems principles,Andrew P. Black;Barbara Liskov,1994.0,SOSP'93 14th ACM Symposium on Operating Systems Principles
1134595,1134596,Exploiting the FAMOUSO middleware in multi-robot application development with Matlab/Simulink,Michael Schulze;Sebastian Zug;Francisco Campos;Fernando Carreira,2008.0,Proceedings of the ACM/IFIP/USENIX Middleware '08 Conference Companion
640822,640823,The 'Logic Assurance (LA)' System - A Tool for Testing and Controlling Real-Time Systems,Ofer Shtrichman;Ron Goldring,1997.0,ICCSSE '97 Proceedings of the 8th Israeli Conference on Computer-Based Systems and Software Engineering
1154227,1154228,Schemas in Directed Emergent Drama,Maria Arinbjarnar;Daniel Kudenko,2008.0,ICIDS '08 Proceedings of the 1st Joint International Conference on Interactive Digital Storytelling: Interactive Storytelling
907829,907830,"Optimal Decisions: From Neural Spikes, through Stochastic Differential Equations, to Behavior*This paper is an expanded version of a plenary lecture delivered at the International Symposium on Nonlinear Theory and its Applications (NOLTA2004), Fukuoka, Japan, Nov. 29--Dec. 3, 2004.",Philip Holmes;Eric Shea-Brown;Jeff Moehlis;Rafal Bogacz;Juan Gao;Gary Aston-Jones;Ed Clayton;Janusz Rajkowski;Jonathan D. Cohen,2005.0,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences"
177610,177611,Benchmarking for distributed memory parallel systems: gaining insight from numbers,C. A. Addison;V. S. Getov;A. J. G. Hey;R. W. Hockney;I. C. Wolton,1994.0,Parallel Computing - Special double issue: SUPRENUM and GENESIS
1442217,1442218,NTRU over rings beyond $${\mathbb{Z}}$$,Monica Nevins;Camelia Karimianpour;Ali Miri,2010.0,"Designs, Codes and Cryptography"
1373831,1373832,"Multimedia in cultural heritage manuscripts: integrating description, transcription, and image content",Catalin Calistru;Cristina Ribeiro;Gabriel David,2009.0,Journal on Image and Video Processing - Special issue on image and video processing for cultural heritage
1604520,1604521,Breaking the Addiction to Process: An Introduction to Agile Development,Elizabeth Scanlon Thomas,2011.0,Breaking the Addiction to Process: An Introduction to Agile Development
1008125,1008126,Toward Video Bookmarking Search: Search-Target Inference from TVWatching,Masayuki Okamoto;Hideo Umeki,2007.0,ICSC '07 Proceedings of the International Conference on Semantic Computing
833586,833587,Tracker: continuous HMMER and BLAST searching,Madelaine Marchin;Paul T. Kelly;Jianwen Fang,2005.0,Bioinformatics
694260,694261,Component descriptor frames: a representation to support the storage and retrieval of reusable software components,Murray Ian Wood,1988.0,Component descriptor frames: a representation to support the storage and retrieval of reusable software components
1951351,1951352,Street-Level trust semantics for attribute authentication (transcript of discussion),Virgil Gligor,2012.0,SP'12 Proceedings of the 20th international conference on Security Protocols
603195,603196,ABACUS/X an incremental compiler for minicomputer use,David L. Fulton;Richard T. Thomas,1976.0,SIGMINI '76 Proceedings of the ACM SIGMINI/SIGPLAN interface meeting on Programming systems in the small processor environment
1173571,1173572,Optimal predictive densities and fractional moments,Emanuele Taufer;Sudip Bose;Aldo Tagliani,2009.0,Applied Stochastic Models in Business and Industry
1914589,1914590,Latencies of conflicting writes on contemporary multicore architectures,Josef Weidendorfer;Michael Ott;Tobias Klug;Carsten Trinitis,2007.0,PaCT'07 Proceedings of the 9th international conference on Parallel Computing Technologies
1191524,1191525,A Model for Fresh Produce Shelf-Space Allocation and Inventory Management with Freshness-Condition-Dependent Demand,Ruibin Bai;Graham Kendall,2008.0,INFORMS Journal on Computing
373814,373815,Digital Document Processing,Hsieh S. Hou,1983.0,Digital Document Processing
665134,665135,Synthesis of combinational circuits with special fault-handling capabilities,A. Bogliolo;M. Damiani,1995.0,VTS '95 Proceedings of the 13th IEEE VLSI Test Symposium
984181,984182,A leader-based parallel cross entropy algorithm for MCP,Zhanhua Bai;Qiang Lv,2007.0,Proceedings of the 9th annual conference companion on Genetic and evolutionary computation
738596,738597,Issues of E-Business Implementation from Enterprise Architecture Viewpoint,Takaaki Kamogawa;Hitoshi Okada,2004.0,SAINT-W '04 Proceedings of the 2004 Symposium on Applications and the Internet-Workshops (SAINT 2004 Workshops)
1074644,1074645,Depth control of remotely operated underwater vehicles using an adaptive fuzzy sliding mode controller,Wallace M. Bessa;Max S. Dutra;Edwin Kreuzer,2008.0,Robotics and Autonomous Systems
504601,504602,Flexibility of the ComBAD Architectures,Nico H. Lassing;Daan B. B. Rijsenbrij;Johannes C. van Vliet,1999.0,WICSA1 Proceedings of the TC2 First Working IFIP Conference on Software Architecture (WICSA1)
621566,621567,An Image Expression Room,Seiki Inoue;Michitoshi Ishiwaka;Shoji Tanaka;Jong-Il Park,1997.0,VSMM '97 Proceedings of the 1997 International Conference on Virtual Systems and MultiMedia
523618,523619,"ETOILE - An Environment for Team, Organizational and Individual Learning in Emergencies",Ralf Dörner;Paul Grimm,2000.0,WETICE '00 Proceedings of the 9th IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises
1344382,1344383,Analysis of a BMAP/D/1-Timer Multiplexer,Gábor Horváth;Miklós Telek,2005.0,Electronic Notes in Theoretical Computer Science (ENTCS)
2078864,2078865,Programming Constructs in Java,Sarthak Saxena,2013.0,Programming Constructs in Java
1414827,1414828,Extending artificial development: exploiting environmental information for the achievement of phenotypic plasticity,Gunnar Tufte;Pauline C. Haddow,2007.0,ICES'07 Proceedings of the 7th international conference on Evolvable systems: from biology to hardware
1318059,1318060,A Dynamic Description Logic-Based Formalism for RBAC,Li Ma;Shilong Ma;Jianghua Lv;Yuefei Sui,2009.0,ICCIT '09 Proceedings of the 2009 Fourth International Conference on Computer Sciences and Convergence Information Technology
1966864,1966865,Adaptive nonlinear probabilistic filter for Positron Emission Tomography,Hichem Sahli;Musa Alrefaya,2012.0,BIBE '12 Proceedings of the 2012 IEEE 12th International Conference on Bioinformatics & Bioengineering (BIBE)
155439,155440,Boundary value problem with a tangential oblique derivative for second order quasilinear elliptic operators,P. R. Popivanov;D. K. Palagachev,1993.0,"Nonlinear Analysis: Theory, Methods & Applications"
1249005,1249006,Behavioral automata composition for automatic topology independent verification of parameterized systems,Youssef Hanna;Samik Basu;Hridesh Rajan,2009.0,Proceedings of the the 7th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering
397584,397585,Problems related to slowly decaying weights,Arno Kuijlaars,2001.0,"Journal of Computational and Applied Mathematics - Special issue on orthogonal polynomials, special functions and their applications"
1776651,1776652,Autonomic mobile sensor network with self-coordinated task allocation and execution,Kian Hsiang Low;W. K. Leow;M. H. Ang,2006.0,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews"
1338090,1338091,Affective video segment retrieval for consumer generated videos based on correlation between emotions and emotional audio events,Go Irie;Kota Hidaka;Takashi Satou;Toshihiko Yamasaki;Kiyoharu Aizawa,2009.0,ICME'09 Proceedings of the 2009 IEEE international conference on Multimedia and Expo
928576,928577,Discrete Time Optical Signal Processing,Jose Capmany,2006.0,Discrete Time Optical Signal Processing
1487850,1487851,An interactive ambient visualization for code smells,Emerson Murphy-Hill;Andrew P. Black,2010.0,Proceedings of the 5th international symposium on Software visualization
67819,67820,Distributed graphics: where to draw the lines?,D. Phillips;M. Pique;C. Moler;J. Torborg;D. Greenberg,1989.0,SIGGRAPH '89 ACM SIGGRAPH 89 Panel Proceedings
2029344,2029345,Care-giver tailoring of IT-based healthcare services for elderly at home: a field test and its results,Mohammad Zarifi Eslami;Alireza Zarghami;Marten van Sinderen;Roel Wieringa,2013.0,Proceedings of the 7th International Conference on Pervasive Computing Technologies for Healthcare
121684,121685,Managing project start-up: an expert system applications,A. Rattini;G. Romanin Jacur,1992.0,Engineering systems with intelligence
1510550,1510551,A Topologic Approach to User-Dependent Key Extraction from Fingerprints,Vladimir Yu. Gudkov;Oleg Ushmaev,2010.0,ICPR '10 Proceedings of the 2010 20th International Conference on Pattern Recognition
1051796,1051797,Introduction to the NTCIR-6 Special Issue,Noriko Kando;Teruko Mitamura;Tetsuya Sakai,2008.0,ACM Transactions on Asian Language Information Processing (TALIP)
86652,86653,Lifting map automorphisms and MacBeath's theorem,David B. Surowski,1990.0,Journal of Combinatorial Theory Series B
1337644,1337645,Efficient broadcast encryption with user profiles,Murat Ak;Kamer Kaya;Kaan Onarlıoğlu;Ali Aydın Selçuk,2010.0,Information Sciences: an International Journal
733479,733480,Formal approach to QoS specification and verification,J. de Meer;A. Rennoch;J. Burmeister,1993.0,CASCON '93 Proceedings of the 1993 conference of the Centre for Advanced Studies on Collaborative research: software engineering - Volume 1
457213,457214,Spatial Localization Of Modelled Objects Of Revolution In Monocular Perspective Vision,Michel Dhome;Jean-Thierry Lapresté;Gérard Rives;Marc Richetin,1990.0,ECCV '90 Proceedings of the First European Conference on Computer Vision
1605561,1605562,Power efficient computation and communication primitives in wireless sensor networks,Ashfaq Khokhar;Turkmen Canli,2010.0,Power efficient computation and communication primitives in wireless sensor networks
859500,859501,Understanding digital libraries,Richard H. Veith,2006.0,Journal of the American Society for Information Science and Technology
1676923,1676924,Agent modeling of tetrahedron-based structures,Charles Sebens;Walt Truszkowski,2005.0,WRAC'05 Proceedings of the Second international conference on Radical Agent Concepts: innovative Concepts for Autonomic and Agent-Based Systems
1739501,1739502,Using score normalization to solve the score variation problem in face authentication,Fei Yang;Shiguang Shan;Bingpeng Ma;Xilin Chen;Wen Gao,2005.0,IWBRS'05 Proceedings of the 2005 international conference on Advances in Biometric Person Authentication
1323167,1323168,Application on Express Delivery of an Immune Genetic Algorithm Based on Machine Learning,Chang Zheng;Zhu Guangming,2009.0,ISCID '09 Proceedings of the 2009 Second International Symposium on Computational Intelligence and Design - Volume 02
1743948,1743949,The GCT program toward the P vs. NP problem,Ketan D. Mulmuley,2012.0,Communications of the ACM
878867,878868,"A high density, carbon nanotube capacitor for decoupling applications",Mark Budnik;Arijit Raychowdhury;Aditya Bansal;Kaushik Roy,2006.0,Proceedings of the 43rd annual Design Automation Conference
68627,68628,A bifurcation problem for a quasi-linear elliptic boundary value problem,M. Nakao,1990.0,Non-Linear Analysis
1187839,1187840,Proof Theory for Fuzzy Logics,George Metcalfe;Nicola Olivetti;Dov Gabbay,2008.0,Proof Theory for Fuzzy Logics
1774325,1774326,Resource Management in IEEE 802.11 Multiple Access Networks with Price-based Service Provisioning,L. Badia;S. Merlin;M. Zorzi,2008.0,IEEE Transactions on Wireless Communications - Part 1
783649,783650,The efficiency of solving multiple discrete logarithm problems and the implications for the security of fixed elliptic curves,Yvonne Hitchcock;Paul Montague;Gary Carter;Ed Dawson,2004.0,International Journal of Information Security
1968835,1968836,Congestion control in wireless sensor networks based on bird flocking behavior,Pavlos Antoniou;Andreas Pitsillides;Tim Blackwell;Andries Engelbrecht;Loizos Michael,2013.0,Computer Networks: The International Journal of Computer and Telecommunications Networking
143411,143412,Analysis of expert reasoning in hardware diagnosis,Nancy E. Reed;Paul E. Johnson,1993.0,International Journal of Man-Machine Studies
230223,230224,Predictor-corrector algorithm for solving P*(&kgr;)-matrix LCP from arbitrary positive starting points,Florian A. Potra;Rongqin Sheng,1997.0,Mathematical Programming: Series A and B - Special issue: interior point methods in theory and practice
1855464,1855465,A new iterated two-band diffusion equation: theory and its application,A. C.-C. Shih;H. -Y.M. Liao;Chun-Shien Lu,2003.0,IEEE Transactions on Image Processing
1607352,1607353,Occurrence nets then and now: the path to structured occurrence nets,Brian Randell,2011.0,PETRI NETS'11 Proceedings of the 32nd international conference on Applications and theory of Petri Nets
1608614,1608615,Accurate 3D object measurement and inspection using structured light systems,Kesheng Wang;Quan Yu,2011.0,Proceedings of the 12th International Conference on Computer Systems and Technologies
1680184,1680185,Learning from playing with microworlds in policy making: An experimental evaluation in fisheries management,Hendrik Stouten;Aimé Heene;Xavier Gellynck;Hans Polet,2012.0,Computers in Human Behavior
176973,176974,Good housekeeping part I: remaining sane in the face of inevitable disasters,James R. Matey,1994.0,Computers in Physics
1564361,1564362,Fuzzy clustering complex-valued neural network to diagnose cirrhosis disease,Rahime Ceylan;Murat Ceylan;Yüksel Özbay;Sadık Kara,2011.0,Expert Systems with Applications: An International Journal
927782,927783,"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software",Scott Rosenberg,2007.0,"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software"
1871488,1871489,Modeling to improve quality or efficiency? An automotive domain perspective,Robert France;Bernhard Rumpe,2012.0,Software and Systems Modeling (SoSyM)
892741,892742,Graphical condensation of plane graphs: a combinatorial approach,Weigen Yan;Yeong-Nan Yeh;Fuji Zhang,2005.0,Theoretical Computer Science
1246052,1246053,Data Security in the World of Cloud Computing,Lori M. Kaufman,2009.0,IEEE Security and Privacy
517590,517591,A General Resource Reservation Framework for Scientific Computing,Ravi Ramamoorthi;Adam Rifkin;Boris Dimitrov;K. Mani Chandy,1997.0,ISCOPE '97 Proceedings of the Scientific Computing in Object-Oriented Parallel Environments
1379443,1379444,The Discrimination of Metallic Coins Using a Scan Type Magnetic Camera,Jongwoo Jun;Jinyi Lee;Jaesun Lee,2010.0,"DELTA '10 Proceedings of the 2010 Fifth IEEE International Symposium on Electronic Design, Test & Applications"
781854,781855,Seizure warning algorithm based on optimization and nonlinear dynamics,Panos M. Pardalos; Wanpracha Chaovalitwongse;Leonidas D. Iasemidis;J. Chris Sackellares;Deng-Shan Shiau;Paul R. Carney;Oleg A. Prokopyev;Vitaliy A. Yatsenko,2004.0,Mathematical Programming: Series A and B
348167,348168,Authoring and annotation of web pages in CREAM,Siegfried Handschuh;Steffen Staab,2002.0,Proceedings of the 11th international conference on World Wide Web
183982,183983,ODBMS technology supports managed care networks,David Baum,1995.0,Data Based Advisor
504349,504350,On Hotz Groups and Homomorphic Images of Sentential Form Languages,Volker Diekert,1985.0,STACS '85 Proceedings of the 2nd Symposium of Theoretical Aspects of Computer Science
1578831,1578832,Creating customized game experiences by leveraging human creative effort: a planning approach,Boyang Li;Mark O. Riedl,2011.0,Agents for games and simulations II
1317595,1317596,A Data-Mining Based Skin Detection Method in JPEG Compressed Domain,Shiwei Zhao;Li Zhuo;Zhu Xiao;Lansun Shen,2009.0,FSKD '09 Proceedings of the 2009 Sixth International Conference on Fuzzy Systems and Knowledge Discovery - Volume 05
543842,543843,Some Progress in the Symbolic Verification of Timed Automata,Marius Bozga;Oded Maler;Amir Pnueli;Sergio Yovine,1997.0,CAV '97 Proceedings of the 9th International Conference on Computer Aided Verification
1900045,1900046,Modified Harmony Search Algorithm for Unconstrained Optimization Problems,Ou Yang Hai-bin;Li Ruo-ping;Gao Li-qun,2012.0,ICETCE '12 Proceedings of the 2012 Second International Conference on Electric Technology and Civil Engineering
352473,352474,Managing in the Age of Information,Kent S. Belasco,2001.0,Managing in the Age of Information
2073277,2073278,The optimal number of used machines in a two-stage flexible flowshop scheduling problem,Enrique Gerstl;Gur Mosheiov,2014.0,Journal of Scheduling
82393,82394,The Object-Oriented Functional Data Language,Michael V. Mannino;In Jun Choi;Don S. Batory,1990.0,IEEE Transactions on Software Engineering
1145301,1145302,Approaches to Improving Reliability in e-Engineering Framework,Seung Hak Kuk;Hyeon Soo Kim;Jai-Kyung Lee;Seong-Whan Park,2008.0,ICWS '08 Proceedings of the 2008 IEEE International Conference on Web Services
140976,140977,A fully polynomial-time approximation algorithm for computing a stationary point of the general linear complementarity problem,Yinyu Ye,1993.0,Mathematics of Operations Research
1728847,1728848,Model checking timed systems with urgencies,Pao-Ann Hsiung;Shang-Wei Lin;Yean-Ru Chen;Chun-Hsian Huang;Jia-Jen Yeh;Hong-Yu Sun;Chao-Sheng Lin;Hsiao-Win Liao,2006.0,ATVA'06 Proceedings of the 4th international conference on Automated Technology for Verification and Analysis
839951,839952,"The ""control of fear"": an interactive art experiencing and presenting system with multimodal sensors and media",Chin Chih Yang;Lipin Liu;Jacy Chen,2005.0,Proceedings of the 13th annual ACM international conference on Multimedia
493180,493181,Unconstrained Japanese Address Recognition Using a Combination of Spatial Information and Word Knowledge,Eiki Ishidera;Daisuke Nishiwaki;Keiji Yamada,1997.0,ICDAR '97 Proceedings of the 4th International Conference on Document Analysis and Recognition
1295724,1295725,Admissible transformation volume for part dimensional quality gauging,Xiaoping Qian;Dean M. Robinson;Joseph Ross,2005.0,Computer-Aided Design
1862933,1862934,Voice over ATM: an evaluation of network architecture alternatives,D. J. Wright,1996.0,IEEE Network: The Magazine of Global Internetworking
1758444,1758445,Similarity methods in signal processing,T.K. Moon,1996.0,IEEE Transactions on Signal Processing
2036763,2036764,The Domain of National Audit Information and the Levels of Disclosure Based on the Perspective of National Governance,Guiliang Liu;Chan Chen;Huanhuan Zhong,2013.0,BCGIN '13 Proceedings of the 2013 International Conference on Business Computing and Global Informatization
306443,306444,Link-time effective whole-program optimizations,Andrea G. M. Cilio;Henk Corporaal,2000.0,Future Generation Computer Systems - Special issue on high performance computing and networking Europe 1999
1618861,1618862,Linearity and iterator types for Gödel's System,Sandra Alves;Maribel Fernández;Mário Florido;Ian Mackie,2010.0,Higher-Order and Symbolic Computation
121721,121722,Visual observation of a moving agent,Tarek M. Sobh;Ruzena Bajcsy,1992.0,Engineering systems with intelligence
710193,710194,Triggers of collaboration in computer-assisted language learning,Franklin I. Bacheller;Nick Eastmond,1999.0,Triggers of collaboration in computer-assisted language learning
1414908,1414909,Bounding the distance between a loop subdivision surface and its limit mesh,Zhangjin Huang;Guoping Wang,2008.0,GMP'08 Proceedings of the 5th international conference on Advances in geometric modeling and processing
392992,392993,Web Development with Java Server Pages,Duane K. Fields;Mark A. Kolb;Shawn Bayern,2001.0,Web Development with Java Server Pages
320475,320476,The optimal approach to recursive programs,Zohar Manna;Adi Shamir,1977.0,Communications of the ACM
537781,537782,Neue Algorithmen für das Maximum-Flow-Problem,Torben Hagerup,1990.0,"GI - 20. Jahrestagung II, Informatik auf dem Weg zum Anwender"
1414097,1414098,Improving instrumentation speed via buffering,Dan Upton;Kim Hazelwood;Robert Cohn;Greg Lueck,2009.0,Proceedings of the Workshop on Binary Instrumentation and Applications
604774,604775,Computerized measurement of operator performance on simulators,Edward J. Kozinsky,1981.0,WSC '81 Proceedings of the 13th conference on Winter simulation - Volume 1
632632,632633,An Investigation into Performance of Congestion Control Mechanisms in ATM-UBR Service for TCP Sources,Jumpot Phuritatkul;Tapio Erke,2001.0,ICON '01 Proceedings of the 9th IEEE International Conference on Networks
1190,1191,Optimal information retrieval when queries are not random,C. C. Chang,1984.0,Information Sciences: an International Journal
1778661,1778662,Chronic whiplash associated disorders and neck movement measurements: an instantaneous helical axis approach,F. Ohberg;H. Grip;U. Wiklund;Y. Sterner;J. S. Karlsson;B. Gerdle,2003.0,IEEE Transactions on Information Technology in Biomedicine
662910,662911,Global illumination animation with random radiance representation,László Szirmay-Kalos;György Antal;Balázs Benedek,2003.0,EGRW '03 Proceedings of the 14th Eurographics workshop on Rendering
738289,738290,Statistically Aware Buffer Planning,Giuseppe S. Garcea;Nick P. van der Meijs;Kees-Jan van der Kolk;Ralph H.  J.  M. Otten,2004.0,"Proceedings of the conference on Design, automation and test in Europe - Volume 2"
122810,122811,Processing electronic manuscripts on the PC,Daniel Eisenberg,1991.0,Scholarly Publishing
2045774,2045775,A Web-Based Approach to Evaluate and Enhance Pump Performance Using Embedded Optimisation,Karl Darbyshire;Geoffrey Waterworth;David Charles Webb,2013.0,A Web-Based Approach to Evaluate and Enhance Pump Performance Using Embedded Optimisation
1069300,1069301,Robust load flow based on local search,P. Acharjee;S. K. Goswami,2008.0,Expert Systems with Applications: An International Journal
2044655,2044656,Energy-Performance Modeling and Optimization of Parallel Computing in On-Chip Networks,Shuai Zhang;Zhiyong Liu;Dongrui Fan;Fonglong Song;Mingzhe Zhang,2013.0,"TRUSTCOM '13 Proceedings of the 2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications"
234311,234312,Protofoil: storing and finding the information worker's paper documents in an electronic file cabinet,Ramana Rao;Stuart K. Card;Walter Johnson;Leigh Klotz;Randy Trigg,1994.0,CHI '94 Conference Companion on Human Factors in Computing Systems
1150980,1150981,C Programming - A Beginner's Course,Noel Kalicharan,2008.0,C Programming - A Beginner's Course
2003883,2003884,"Discrimination of vegetation types in alpine sites with ALOS PALSAR-, RADARSAT-2-, and lidar-derived information",Gaia Vaglio Laurin;Fabio Del Frate;Luca Pasolli;Claudia Notarnicola;Leila Guerriero;Riccardo Valentini,2013.0,International Journal of Remote Sensing
1407052,1407053,Bounded CCA2-secure encryption,Ronald Cramer;Goichiro Hanaoka;Dennis Hofheinz;Hideki Imai;Eike Kiltz;Rafael Pass;Abhi Shelat;Vinod Vaikuntanathan,2007.0,ASIACRYPT'07 Proceedings of the Advances in Crypotology 13th international conference on Theory and application of cryptology and information security
